ts_utc,zone,series,value,source
2022-12-31T23:00:00,DE-LU,price.day_ahead,-5.17,energy_charts
2023-01-01T00:00:00,DE-LU,price.day_ahead,-1.07,energy_charts
2023-01-01T01:00:00,DE-LU,price.day_ahead,-1.47,energy_charts
2023-01-01T02:00:00,DE-LU,price.day_ahead,-5.08,energy_charts
2023-01-01T03:00:00,DE-LU,price.day_ahead,-4.49,energy_charts
2023-01-01T04:00:00,DE-LU,price.day_ahead,-5.4,energy_charts
2023-01-01T05:00:00,DE-LU,price.day_ahead,-5.02,energy_charts
2023-01-01T06:00:00,DE-LU,price.day_ahead,-1.3,energy_charts
2023-01-01T07:00:00,DE-LU,price.day_ahead,-1.44,energy_charts
2023-01-01T08:00:00,DE-LU,price.day_ahead,-1.09,energy_charts
2023-01-01T09:00:00,DE-LU,price.day_ahead,-1.07,energy_charts
2023-01-01T10:00:00,DE-LU,price.day_ahead,-1.07,energy_charts
2023-01-01T11:00:00,DE-LU,price.day_ahead,-0.79,energy_charts
2023-01-01T12:00:00,DE-LU,price.day_ahead,-0.27,energy_charts
2023-01-01T13:00:00,DE-LU,price.day_ahead,0.85,energy_charts
2023-01-01T14:00:00,DE-LU,price.day_ahead,23.53,energy_charts
2023-01-01T15:00:00,DE-LU,price.day_ahead,36.54,energy_charts
2023-01-01T16:00:00,DE-LU,price.day_ahead,46.03,energy_charts
2023-01-01T17:00:00,DE-LU,price.day_ahead,55.57,energy_charts
2023-01-01T18:00:00,DE-LU,price.day_ahead,54.95,energy_charts
2023-01-01T19:00:00,DE-LU,price.day_ahead,49.23,energy_charts
2023-01-01T20:00:00,DE-LU,price.day_ahead,44.99,energy_charts
2023-01-01T21:00:00,DE-LU,price.day_ahead,45.96,energy_charts
2023-01-01T22:00:00,DE-LU,price.day_ahead,35.0,energy_charts
2023-01-01T23:00:00,DE-LU,price.day_ahead,57.91,energy_charts
2023-01-02T00:00:00,DE-LU,price.day_ahead,51.67,energy_charts
2023-01-02T01:00:00,DE-LU,price.day_ahead,52.93,energy_charts
2023-01-02T02:00:00,DE-LU,price.day_ahead,44.09,energy_charts
2023-01-02T03:00:00,DE-LU,price.day_ahead,50.08,energy_charts
2023-01-02T04:00:00,DE-LU,price.day_ahead,69.72,energy_charts
2023-01-02T05:00:00,DE-LU,price.day_ahead,105.08,energy_charts
2023-01-02T06:00:00,DE-LU,price.day_ahead,140.64,energy_charts
2023-01-02T07:00:00,DE-LU,price.day_ahead,145.98,energy_charts
2023-01-02T08:00:00,DE-LU,price.day_ahead,147.05,energy_charts
2023-01-02T09:00:00,DE-LU,price.day_ahead,145.61,energy_charts
2023-01-02T10:00:00,DE-LU,price.day_ahead,143.35,energy_charts
2023-01-02T11:00:00,DE-LU,price.day_ahead,144.38,energy_charts
2023-01-02T12:00:00,DE-LU,price.day_ahead,143.76,energy_charts
2023-01-02T13:00:00,DE-LU,price.day_ahead,148.2,energy_charts
2023-01-02T14:00:00,DE-LU,price.day_ahead,155.34,energy_charts
2023-01-02T15:00:00,DE-LU,price.day_ahead,162.89,energy_charts
2023-01-02T16:00:00,DE-LU,price.day_ahead,170.0,energy_charts
2023-01-02T17:00:00,DE-LU,price.day_ahead,174.74,energy_charts
2023-01-02T18:00:00,DE-LU,price.day_ahead,164.46,energy_charts
2023-01-02T19:00:00,DE-LU,price.day_ahead,153.0,energy_charts
2023-01-02T20:00:00,DE-LU,price.day_ahead,141.67,energy_charts
2023-01-02T21:00:00,DE-LU,price.day_ahead,134.91,energy_charts
2023-01-02T22:00:00,DE-LU,price.day_ahead,124.22,energy_charts
